,case_number,occured_on,neighborhood,hour of day,year,month,motivation,latitude,longitude
210,23045122,2023-10-15 15:00:00,Harborview,15,2023,10,Race,,
211,23045122,2023-10-15 15:00:00,Harborview,15,2023,10,Race,,
212,23045467,2023-10-18 14:46:01,Mission Valley East,14,2023,10,Race,32.76736076477208,-117.15712902434288
213,23047095,2023-10-27 23:10:00,Clairemont Mesa East,23,2023,10,Religion,32.82031512746642,-117.16695890793302
214,23047095,2023-10-27 23:10:00,Clairemont Mesa East,23,2023,10,Religion,32.82031512746642,-117.16695890793302
215,23047946,2023-11-02 14:46:00,Clairemont Mesa East,14,2023,11,Religion,32.82031512746642,-117.16695890793302
216,23047946,2023-11-02 14:46:00,Clairemont Mesa East,14,2023,11,Religion,32.82031512746642,-117.16695890793302
217,23048309,2023-11-05 18:25:37,Grant Hill,18,2023,11,Sexual Orientation,32.712811052548936,-117.13593907565168
218,23048309,2023-11-05 18:25:37,Grant Hill,18,2023,11,Sexual Orientation,32.712811052548936,-117.13593907565168
219,23048547,2023-11-07 08:31:37,Rancho Penasquitos,8,2023,11,Race,32.96976301608979,-117.0955448969376
220,23050454,2023-11-16 15:00:49,Clairemont Mesa East,15,2023,11,Religion,32.8184987359162,-117.17552608049776
221,23050454,2023-11-16 15:00:49,Clairemont Mesa East,15,2023,11,Religion,32.8184987359162,-117.17552608049776
222,23050454,2023-11-16 15:00:49,Clairemont Mesa East,15,2023,11,Religion,32.8184987359162,-117.17552608049776
223,23050982,2023-11-20 09:00:00,Pacific Beach,9,2023,11,Sexual Orientation,32.79917324712347,-117.25771446120582
224,23050982,2023-11-20 09:00:00,Pacific Beach,9,2023,11,Sexual Orientation,32.79917324712347,-117.25771446120582
225,23051036,2023-11-20 09:30:00,University City,9,2023,11,Religion,32.87516694552157,-117.21820102636369
226,23051534,2023-11-24 09:30:00,Midway District,9,2023,11,Race,32.751204165488595,-117.21342653120608
227,23053174,2023-12-03 10:15:00,Rolando,10,2023,12,Race,32.76874788142739,-117.04701413296488
228,23053174,2023-12-03 10:15:00,Rolando,10,2023,12,Race,32.76874788142739,-117.04701413296488
229,23053238,2023-12-03 18:39:00,North Clairemont,18,2023,12,Race,32.83447408226654,-117.17554321698763
230,23055865,2023-12-22 06:13:00,Sherman Heights,6,2023,12,Gender,32.707443712898595,-117.1423986927234
231,23056359,2023-12-25 19:30:21,Kearney Mesa,19,2023,12,Sexual Orientation,32.831453795644535,-117.13654025380936
232,24002728,2024-01-19 14:34:00,Redwood Village,14,2024,1,Race,32.750597031113706,-117.07012068235754
233,24004067,2024-01-28 07:17:13,Tierra Santa,7,2024,1,Sexual Orientation,32.83082773375985,-117.10888829362692
234,24004689,2023-09-01 00:01:00,University City,0,2024,2,Race,32.85135925625298,-117.18510675742591
235,24006296,2024-02-11 21:00:08,Grantville,21,2024,2,Race,32.78167534148669,-117.11331800863763
236,24008110,2024-02-26 13:00:00,Oak Park,13,2024,2,Race,32.73654524205588,-117.07969636669804
237,24008110,2024-02-26 13:00:00,Oak Park,13,2024,2,Race,32.73654524205588,-117.07969636669804
238,24009253,2024-02-28 12:30:00,Midway District,12,2024,2,Race,32.75490003487621,-117.20602381066756
239,24009633,2024-03-08 05:00:00,Morena,5,2024,3,Race,32.769994971961474,-117.20408387430096
240,24009841,2024-03-09 13:06:15,Barrio Logan,13,2024,3,Race,32.70029638928246,-117.142488190584
241,24009841,2024-03-09 13:06:15,Barrio Logan,13,2024,3,Race,32.70029638928246,-117.142488190584
